Points norm;Points plot;Points;Cp
0,5;0,1;0;-0,519
0,51;0,102;0,002;-0,831
0,52;0,104;0,004;-1,01
0,53;0,106;0,006;-0,936
0,54;0,108;0,008;-0,885
0,55;0,11;0,01;-0,846
0,56;0,112;0,012;-0,814
0,57;0,114;0,014;-0,787
0,58;0,116;0,016;-0,77
0,59;0,118;0,018;-0,754
0,6;0,12;0,02;-0,737
0,61;0,122;0,022;-0,725
0,62;0,124;0,024;-0,714
0,63;0,126;0,026;-0,702
0,64;0,128;0,028;-0,692
0,65;0,13;0,03;-0,683
0,66;0,132;0,032;-0,674
0,67;0,134;0,034;-0,666
0,68;0,136;0,036;-0,658
0,69;0,138;0,038;-0,651
0,7;0,14;0,04;-0,644
0,71;0,142;0,042;-0,637
0,72;0,144;0,044;-0,63
0,73;0,146;0,046;-0,624
0,74;0,148;0,048;-0,618
0,75;0,15;0,05;-0,613
0,76;0,152;0,052;-0,607
0,77;0,154;0,054;-0,602
0,78;0,156;0,056;-0,596
0,79;0,158;0,058;-0,591
0,8;0,16;0,06;-0,586
0,81;0,162;0,062;-0,581
0,82;0,164;0,064;-0,577
0,83;0,166;0,066;-0,572
0,84;0,168;0,068;-0,567
0,85;0,17;0,07;-0,563
0,86;0,172;0,072;-0,558
0,87;0,174;0,074;-0,554
0,88;0,176;0,076;-0,549
0,89;0,178;0,078;-0,545
0,9;0,18;0,08;-0,541
0,91;0,182;0,082;-0,537
0,92;0,184;0,084;-0,532
0,93;0,186;0,086;-0,528
0,94;0,188;0,088;-0,524
0,95;0,19;0,09;-0,52
0,96;0,192;0,092;-0,516
0,97;0,194;0,094;-0,512
0,98;0,196;0,096;-0,508
0,99;0,198;0,098;-0,504
1;0,2;0,1;-0,5
1,01;0,202;0,102;-0,496
1,02;0,204;0,104;-0,492
1,03;0,206;0,106;-0,488
1,04;0,208;0,108;-0,484
1,05;0,21;0,11;-0,481
1,06;0,212;0,112;-0,477
1,07;0,214;0,114;-0,473
1,08;0,216;0,116;-0,469
1,09;0,218;0,118;-0,466
1,1;0,22;0,12;-0,462
1,11;0,222;0,122;-0,458
1,12;0,224;0,124;-0,454
1,13;0,226;0,126;-0,451
1,14;0,228;0,128;-0,447
1,15;0,23;0,13;-0,444
1,16;0,232;0,132;-0,44
1,17;0,234;0,134;-0,436
1,18;0,236;0,136;-0,433
1,19;0,238;0,138;-0,429
1,2;0,24;0,14;-0,426
1,21;0,242;0,142;-0,422
1,22;0,244;0,144;-0,419
1,23;0,246;0,146;-0,415
1,24;0,248;0,148;-0,412
1,25;0,25;0,15;-0,409
1,26;0,252;0,152;-0,405
1,27;0,254;0,154;-0,402
1,28;0,256;0,156;-0,398
1,29;0,258;0,158;-0,395
1,3;0,26;0,16;-0,392
1,31;0,262;0,162;-0,388
1,32;0,264;0,164;-0,385
1,33;0,266;0,166;-0,382
1,34;0,268;0,168;-0,379
1,35;0,27;0,17;-0,375
1,36;0,272;0,172;-0,372
1,37;0,274;0,174;-0,369
1,38;0,276;0,176;-0,366
1,39;0,278;0,178;-0,363
1,4;0,28;0,18;-0,36
1,41;0,282;0,182;-0,357
1,42;0,284;0,184;-0,354
1,43;0,286;0,186;-0,351
1,44;0,288;0,188;-0,349
1,45;0,29;0,19;-0,346
1,46;0,292;0,192;-0,344
1,47;0,294;0,194;-0,342
1,48;0,296;0,196;-0,341
1,49;0,298;0,198;-0,336
1,5;0,3;0,2;-0,329